Product Name,Price,Brand,Category,Description,Rating,Review Count,Style Attributes,Total Sizes,Available Sizes,Color,Purchase History,Age,Fashion Magazines,Fashion Influencers,Season,Time Period Highest Purchase,Customer Reviews,Social Media Comments,feedback
T5D3,97.509965964348,Ralph Lauren,Footwear,Bad,1.4217059009742785,492,Streetwear,"M, L, XL",XL,Green,Medium,24,Vogue,Chiara Ferragni,Fall/Winter,Daytime,Mixed,Mixed,Other
Y0V7,52.3412771872714,Ted Baker,Tops,Not Good,1.037676875247525,57,Vintage,"M, L, XL",XL,Black,Above Average,61,Glamour,Leandra Medine,Winter,Weekend,Negative,Neutral,Other
N9Q4,15.43097536816034,Jigsaw,Footwear,Very Bad,3.967106267917416,197,Streetwear,"S, M, L",M,Blue,Average,27,Marie Claire,Gigi Hadid,Summer,Nighttime,Unknown,Negative,Neutral
V2T6,81.11654218193338,Alexander McQueen,Outerwear,Not Good,2.8446586731348202,473,Formal,"S, M, L",L,Red,Very High,50,Marie Claire,Chiara Ferragni,Fall/Winter,Weekend,Neutral,Other,Other
S7Y1,31.63368584771373,Tommy Hilfiger,Bottoms,Very Good,1.183242498170542,55,Sporty,"M, L, XL",S,Green,Above Average,23,Glamour,Song of Style,Spring,Daytime,Positive,Mixed,Positive
N5B8,46.18416286273969,Alexander McQueen,Outerwear,Very Bad,3.2963889378455433,317,Streetwear,"S, M, L",M,Blue,Negligible,28,Fashionista,Olivia Palermo,Summer,Holiday,Positive,Negative,Other
W9E4,70.49485738557559,Ralph Lauren,Bottoms,Best,3.730881148946447,356,Edgy,"S, L, XL",L,Black,Very Low,54,Glamour,Kendall Jenner,Winter,Daytime,Positive,Other,Negative
T4D0,83.21542669762384,Calvin Klein,Outerwear,Good,1.45574575418908,487,Edgy,"S, L, XL",XL,Green,Average,27,W,Aimee Song,Summer,Nighttime,Mixed,Mixed,Neutral
W3E2,52.79674886503012,Jigsaw,Bottoms,Best,4.9584843373763245,194,Sporty,"S, M, L",XL,Blue,Very Low,35,Glamour,Kendall Jenner,Fall/Winter,Nighttime,Mixed,Negative,Neutral
Q8I0,70.44567120597677,Tommy Hilfiger,Tops,Very Good,3.6518928637755117,391,Minimalist,"M, L, XL",L,Red,Negligible,24,Vogue,Song of Style,Spring/Summer,Daytime,Positive,Other,Negative
L9V7,10.51238491987409,Tommy Hilfiger,Outerwear,Not Good,4.440638520556405,77,Preppy,"M, L, XL",M,Blue,Significant,33,Harper's Bazaar,Olivia Palermo,Fall/Winter,Holiday,Negative,Mixed,Negative
V4X4,67.53050588170947,Calvin Klein,Outerwear,Worst,3.24402542587146,187,Glamorous,"S, L, XL",S,Blue,Medium,47,Grazia,Chiara Ferragni,Fall,Evening,Mixed,Positive,Unknown
R8M8,70.52382705138098,Jigsaw,Bottoms,Worst,4.1408067541794065,127,Streetwear,"M, L, XL",L,Black,Above Average,58,Glamour,Chiara Ferragni,Spring/Summer,Nighttime,Unknown,Neutral,Neutral
W2G6,38.38402140192363,Tommy Hilfiger,Accessories,Best,2.2277649763708487,357,Sporty,"S, M, L",M,Black,Very High,54,Grazia,Chiara Ferragni,Fall,Weekend,Unknown,Other,Other
L2Z4,54.06005949846861,Alexander McQueen,Footwear,Very Bad,4.441452489784707,134,Minimalist,"S, L, XL",M,Black,Medium,34,Fashionista,Gigi Hadid,Summer,Evening,Mixed,Positive,Positive
G0T5,21.4295654645885,Ted Baker,Dresses,Not Good,3.2152713731299216,281,Casual,"M, L, XL",S,Green,Below Average,36,Cosmopolitan,Chiara Ferragni,Summer,Nighttime,Neutral,Neutral,Other
X8N2,70.5800529916064,Ted Baker,Swimwear,Very Good,1.5027775080319143,454,Streetwear,"S, L, XL",S,Black,Very Low,39,Glamour,Aimee Song,Spring,Daytime,Unknown,Neutral,Other
B3L2,83.40829094739435,Mulberry,Activewear,Very Bad,2.1101186321202263,446,Bohemian,"M, L, XL",S,Green,Very Low,25,W,Kendall Jenner,Spring/Summer,Evening,Mixed,Unknown,Unknown
M3F2,57.23354113136979,Calvin Klein,Footwear,Very Bad,3.924005373676343,260,Edgy,"M, L, XL",L,Black,Average,60,Elle,Julie Sari̱ana,Summer,Holiday,Neutral,Positive,Neutral
Z3M4,69.4994360818832,Ted Baker,Lingerie,Very Bad,1.7863428638423753,20,Sporty,"S, M, L",L,Blue,Medium,23,Elle,Olivia Palermo,Summer,Daytime,Negative,Neutral,Unknown
F0U3,13.109379894625802,Jigsaw,Footwear,Good,2.326211278088172,380,Streetwear,"S, L, XL",M,Black,Low,22,Fashionista,Leandra Medine,Fall/Winter,Weekend,Positive,Neutral,Other
C8Y9,66.42802598693791,Calvin Klein,Outerwear,Not Good,4.957496187165081,322,Sporty,"S, L, XL",S,Black,Below Average,28,Fashionista,Chiara Ferragni,Spring,Daytime,Neutral,Neutral,Unknown
C7X4,19.02566257583297,Burberry,Accessories,Worst,3.858285470446137,54,Minimalist,"M, L, XL",M,Red,Very Low,26,Cosmopolitan,Olivia Palermo,Fall/Winter,Holiday,Mixed,Unknown,Mixed
Q3P5,37.7643027723414,Ted Baker,Accessories,Very Bad,4.897313956361072,96,Bohemian,"S, M, L",XL,Black,Negligible,27,Harper's Bazaar,Camila Coelho,Fall/Winter,Nighttime,Mixed,Positive,Other
N0C7,28.35869157030242,Burberry,Accessories,Very Good,2.3690288222642075,449,Glamorous,"S, M, L",S,Red,Average,63,Vogue,Negin Mirsalehi,Summer,Daytime,Mixed,Other,Other
Q2H7,59.94800132366984,Ted Baker,Accessories,Good,1.6730461368790088,268,Sporty,"S, M, L",M,Green,Average,58,W,Aimee Song,Fall/Winter,Daytime,Negative,Other,Other
D4R2,64.00338117298057,Burberry,Dresses,Best,3.4004691442375328,253,Preppy,"S, M, L",S,Black,Negligible,64,Elle,Olivia Palermo,Spring/Summer,Daytime,Negative,Mixed,Neutral
